,id,preco
0,13518783164498355150900635905895481162,206589.62
1,299896161723793383246777788797566040330,175082.67
2,316180649972302128246133616457018378621,148410.47
3,222527157104148385909188217274642813298,186174.02
4,160460343059850745858546502614838368036,178965.36
5,262727202368986244371977784343233436999,136460.67
6,254093764205800086330999281077926851120,139397.95
7,26118184613036116787803832945215674478,162444.55
8,216524630140335566712794225427064313,143264.2
9,185631381169816366226494379020452029389,162172.88
10,193325654448132563278364141820152041311,143562.22
11,238917637717691361625086479663492481749,75165.79
12,55430829679256880238551444522175018156,148812.92
13,215317645068876070368783807654911699750,149060.23
14,81597227204971961501733390453078413740,139462.27
15,144896666825908872755051834814298387194,81848.64
16,184599608599423525451999366981389806783,123554.58
17,332523842755767369964829329030378044388,180131.02
18,115343777354602647202140618045743635008,127345.3
19,20757170217235469489036110086071917277,152281.45
20,185526399598537813925895625787601650168,153379.56
21,60658042813489826886245400795986219027,157927.69
22,252469656136469704862465423825396909961,203649.64
23,144289133420257677937750963126363910239,107812.33
24,286704706212186527658783613441315754259,155146.02
25,104788498292328609834480593297039083847,203242.86
26,83091551517048057678460117003997132666,181697.56
27,253819240599250454081144283787356606601,152622.44
28,47552100267769170589122325402191982347,147280.53
29,143932540867090135955180920741784357244,154246.77
30,196345985565471044954698780677909306202,144543.45
31,244792708737468723430839923035345593106,199096.62
32,84589940414664494482357035061818012137,147135.08
33,272199586960887794853261858460695880945,133288.02
34,49959439507026713714422386346459644032,127946.19
35,281026519311657672970881937258693325762,115251.67
36,93074564150014753673961081882123830374,151413.67
37,26728401390792884431172378844166640182,185267.67
38,188211565885838356078706489204052877949,62409.805
39,72487946181948797581370306862646034491,169813.23
40,228864048115975611203958077134700148633,147194.95
41,112454259487642510247400972640243226784,131945.86
42,222663295482952330188872827964862490542,153771.72
43,174300102534868734265445704595501072047,170307.62
44,65616068149477861830943576277231644996,103303.44
45,12512429268260634755522419284910697215,216297.31
46,336344009530167442733355949279054127993,123149.52
47,79522286518792634854353998912967788405,208690.53
48,82689802293775881487902613650793199776,155891.89
49,145087209205382180995284342956932775590,155440.34
50,148379644220249469735831915363404593938,167078.9
51,81783415914068556337040372580510327746,139724.64
52,17392005129747944984443660408573750669,202407.66
53,221003909581330971303914733428302885356,173292.62
54,32270994133870633595828638411924379558,179883.17
55,44743423162474884539743903954385097896,148976.56
56,256739781367016694034266877805520625472,201553.88
57,102069821313289958956134954896763391138,156049.97
58,295239204594155572903470420706758961711,138184.1
59,217043924033496343963491521400562422856,151019.84
60,230630223901851276472648163541398202700,194826.55
61,228794583325189840821498523768389390979,157246.11
62,226883211751919793077312253417502568887,172917.08
63,178727794896076301413017290746899811351,181804.69
64,233324434070255280697734700180958891999,152984.75
65,120196782885257163651164953359063822616,132216.12
66,307587965035124177469706843302286678852,181683.6
67,147918433942232310306879997092064646229,169176.47
68,322862357217576382174561616320866894896,138595.61
69,239523402888574028389406143855331971634,133251.75
70,113509983214540261664688743850173663995,171919.94
71,109891169875096641331353504149265117244,144637.4
72,14047284765259674200352849951505593080,186953.88
73,185048785858081984334746723407963750558,157252.84
74,233408161489868303803711823496315975517,87666.82
75,271868823659695867806389462405507434039,147845.02
76,234266752075173490649523075655294035700,194659.44
77,135193714861901808768224625797727405125,134946.58
78,65383514239248595231552479759479421653,174053.27
79,763500554236946546082152173974002095,132855.81
80,263071556455718053803505933844459615897,122180.51
81,251187863725990533753089128740859478739,148731.03
82,254288424794027625207128200628830798586,123779.375
83,286319605986498380547161295324785273852,126805.83
84,18156444762146185587945140921021289232,165856.83
85,132399590521100913284690334248594447552,162367.34
86,103484450878268999171337512911053865440,207980.55
87,3912270241651523146374566983699340012,162783.19
88,289442719100949424990356122406061188257,138295.97
89,78107569099680024366542029001316825040,142915.72
90,35630579392702895703343792092821020757,196334.92
91,180495442974534219664033650975071179678,146419.53
92,310808003231123687601982759789167595573,122448.86
93,281412885789869246852489114984059535931,119421.79
94,115834922999693545296191213987693964898,135461.69
95,5731801982113473737231393645963779999,170913.34
96,256716164818036322373140286568690396129,152132.45
97,287091925155434474451326927701130603179,161520.25
98,34260218896401614964439670738816901101,179959.33
99,129711525134942617432200032446355408594,206615.5
100,63813447393601008165654825811986411111,178711.66
101,233957718806307342910872106898233148735,182534.27
102,138508589382193076883186189654019084427,140755.94
103,171762617476835661595108367117122969376,141774.25
104,7122736344425113322294078330615663312,153795.33
